"train/global_step","rare-sunset-210 - _step","rare-sunset-210 - _step__MIN","rare-sunset-210 - _step__MAX","rare-sunset-210 - train/rewards/wrapped_reward/mean","rare-sunset-210 - train/rewards/wrapped_reward/mean__MIN","rare-sunset-210 - train/rewards/wrapped_reward/mean__MAX","royal-water-208 - _step","royal-water-208 - _step__MIN","royal-water-208 - _step__MAX","royal-water-208 - train/rewards/wrapped_reward/mean","royal-water-208 - train/rewards/wrapped_reward/mean__MIN","royal-water-208 - train/rewards/wrapped_reward/mean__MAX"
"1","14","14","14","0.28125","0.28125","0.28125","14","14","14","0.4375","0.4375","0.4375"
"2","30","30","30","0.46875","0.46875","0.46875","30","30","30","0.09375","0.09375","0.09375"
"3","46","46","46","0.03125","0.03125","0.03125","46","46","46","0.1875","0.1875","0.1875"
"4","62","62","62","0.21875","0.21875","0.21875","62","62","62","0.75","0.75","0.75"
"5","78","78","78","0.28125","0.28125","0.28125","78","78","78","0.375","0.375","0.375"
"6","94","94","94","0.375","0.375","0.375","94","94","94","0.34375","0.34375","0.34375"
"7","110","110","110","0.1875","0.1875","0.1875","110","110","110","0.28125","0.28125","0.28125"
"8","126","126","126","0.1875","0.1875","0.1875","126","126","126","0.25","0.25","0.25"
"9","142","142","142","0.1875","0.1875","0.1875","142","142","142","0.40625","0.40625","0.40625"
"10","158","158","158","0.1875","0.1875","0.1875","158","158","158","0.3125","0.3125","0.3125"
"11","174","174","174","0.21875","0.21875","0.21875","174","174","174","0.40625","0.40625","0.40625"
"12","190","190","190","0.25","0.25","0.25","190","190","190","0.375","0.375","0.375"
"13","206","206","206","0.15625","0.15625","0.15625","206","206","206","0.34375","0.34375","0.34375"
"14","222","222","222","0.28125","0.28125","0.28125","222","222","222","0.25","0.25","0.25"
"15","238","238","238","0.25","0.25","0.25","238","238","238","0.3125","0.3125","0.3125"
"16","254","254","254","0.125","0.125","0.125","254","254","254","0.34375","0.34375","0.34375"
"17","270","270","270","0.15625","0.15625","0.15625","270","270","270","0.59375","0.59375","0.59375"
"18","286","286","286","0.15625","0.15625","0.15625","286","286","286","0.3125","0.3125","0.3125"
"19","302","302","302","0.3125","0.3125","0.3125","302","302","302","0.21875","0.21875","0.21875"
"20","318","318","318","0.3125","0.3125","0.3125","318","318","318","0.5625","0.5625","0.5625"
"21","334","334","334","0.09375","0.09375","0.09375","334","334","334","0.34375","0.34375","0.34375"
"22","350","350","350","0.40625","0.40625","0.40625","350","350","350","0.34375","0.34375","0.34375"
"23","366","366","366","0.21875","0.21875","0.21875","366","366","366","0.03125","0.03125","0.03125"
"24","382","382","382","0.0625","0.0625","0.0625","382","382","382","0.1875","0.1875","0.1875"
"25","398","398","398","0.03125","0.03125","0.03125","398","398","398","0.0625","0.0625","0.0625"
"26","414","414","414","0.28125","0.28125","0.28125","414","414","414","0.21875","0.21875","0.21875"
"27","430","430","430","0.21875","0.21875","0.21875","430","430","430","0.25","0.25","0.25"
"28","446","446","446","0.15625","0.15625","0.15625","446","446","446","0.1875","0.1875","0.1875"
"29","462","462","462","0.125","0.125","0.125","462","462","462","0.34375","0.34375","0.34375"
"30","478","478","478","0.25","0.25","0.25","478","478","478","0.1875","0.1875","0.1875"
"31","494","494","494","0.3125","0.3125","0.3125","494","494","494","0.34375","0.34375","0.34375"
"32","510","510","510","0.375","0.375","0.375","510","510","510","0.09375","0.09375","0.09375"
"33","526","526","526","0.25","0.25","0.25","526","526","526","0.34375","0.34375","0.34375"
"34","542","542","542","0.125","0.125","0.125","542","542","542","0.25","0.25","0.25"
"35","558","558","558","0.21875","0.21875","0.21875","558","558","558","0.375","0.375","0.375"
"36","574","574","574","0.25","0.25","0.25","574","574","574","0.46875","0.46875","0.46875"
"37","590","590","590","0.125","0.125","0.125","590","590","590","0.25","0.25","0.25"
"38","606","606","606","0.25","0.25","0.25","606","606","606","0.375","0.375","0.375"
"39","622","622","622","0.46875","0.46875","0.46875","622","622","622","0.40625","0.40625","0.40625"
"40","638","638","638","0.5625","0.5625","0.5625","638","638","638","0.21875","0.21875","0.21875"
"41","654","654","654","0.28125","0.28125","0.28125","654","654","654","0.4375","0.4375","0.4375"
"42","670","670","670","0.375","0.375","0.375","670","670","670","0.1875","0.1875","0.1875"
"43","686","686","686","0.34375","0.34375","0.34375","686","686","686","0.5625","0.5625","0.5625"
"44","702","702","702","0.25","0.25","0.25","702","702","702","0.125","0.125","0.125"
"45","718","718","718","0.375","0.375","0.375","718","718","718","0.25","0.25","0.25"
"46","734","734","734","0.15625","0.15625","0.15625","734","734","734","0.4375","0.4375","0.4375"
"47","750","750","750","0.375","0.375","0.375","750","750","750","0.40625","0.40625","0.40625"
"48","766","766","766","0.1875","0.1875","0.1875","766","766","766","0.21875","0.21875","0.21875"
"49","782","782","782","0.28125","0.28125","0.28125","782","782","782","0.53125","0.53125","0.53125"
"50","798","798","798","0.34375","0.34375","0.34375","798","798","798","0.46875","0.46875","0.46875"
"51","814","814","814","0.34375","0.34375","0.34375","814","814","814","0.34375","0.34375","0.34375"
"52","830","830","830","0.4375","0.4375","0.4375","830","830","830","0.1875","0.1875","0.1875"
"53","846","846","846","0.34375","0.34375","0.34375","846","846","846","0.34375","0.34375","0.34375"
"54","862","862","862","0.15625","0.15625","0.15625","862","862","862","0.46875","0.46875","0.46875"
"55","878","878","878","0.34375","0.34375","0.34375","878","878","878","0.25","0.25","0.25"
"56","894","894","894","0.46875","0.46875","0.46875","894","894","894","0.5","0.5","0.5"
"57","910","910","910","0.28125","0.28125","0.28125","910","910","910","0.21875","0.21875","0.21875"
"58","926","926","926","0.34375","0.34375","0.34375","926","926","926","0.46875","0.46875","0.46875"
"59","942","942","942","0.375","0.375","0.375","942","942","942","0.625","0.625","0.625"
"60","958","958","958","0.375","0.375","0.375","958","958","958","0.28125","0.28125","0.28125"
"61","974","974","974","0.21875","0.21875","0.21875","974","974","974","0.25","0.25","0.25"
"62","990","990","990","0.34375","0.34375","0.34375","990","990","990","0.25","0.25","0.25"
"63","1006","1006","1006","0.25","0.25","0.25","1006","1006","1006","0.375","0.375","0.375"
"64","1022","1022","1022","0.21875","0.21875","0.21875","1022","1022","1022","0.25","0.25","0.25"
"65","1038","1038","1038","0.25","0.25","0.25","1038","1038","1038","0.34375","0.34375","0.34375"
"66","1054","1054","1054","0.1875","0.1875","0.1875","1054","1054","1054","0.375","0.375","0.375"
"67","1070","1070","1070","0.3125","0.3125","0.3125","1070","1070","1070","0.15625","0.15625","0.15625"
"68","1086","1086","1086","0.40625","0.40625","0.40625","1086","1086","1086","0.40625","0.40625","0.40625"
"69","1102","1102","1102","0.4375","0.4375","0.4375","1102","1102","1102","0.15625","0.15625","0.15625"
"70","1118","1118","1118","0.09375","0.09375","0.09375","1118","1118","1118","0.1875","0.1875","0.1875"
"71","1134","1134","1134","0.34375","0.34375","0.34375","1134","1134","1134","0.40625","0.40625","0.40625"
"72","1150","1150","1150","0.34375","0.34375","0.34375","1150","1150","1150","0.1875","0.1875","0.1875"
"73","1166","1166","1166","0.34375","0.34375","0.34375","1166","1166","1166","0.15625","0.15625","0.15625"
"74","1182","1182","1182","0.3125","0.3125","0.3125","1182","1182","1182","0.1875","0.1875","0.1875"
"75","1198","1198","1198","0.15625","0.15625","0.15625","1198","1198","1198","0.40625","0.40625","0.40625"
"76","1214","1214","1214","0.40625","0.40625","0.40625","1214","1214","1214","0.21875","0.21875","0.21875"
"77","1230","1230","1230","0.28125","0.28125","0.28125","1230","1230","1230","0.5625","0.5625","0.5625"
"78","1246","1246","1246","0.40625","0.40625","0.40625","1246","1246","1246","0.28125","0.28125","0.28125"
"79","1262","1262","1262","0.375","0.375","0.375","1262","1262","1262","0.4375","0.4375","0.4375"
"80","1278","1278","1278","0.25","0.25","0.25","1278","1278","1278","0.46875","0.46875","0.46875"
"81","1294","1294","1294","0.3125","0.3125","0.3125","1294","1294","1294","0.28125","0.28125","0.28125"
"82","1310","1310","1310","0.65625","0.65625","0.65625","1310","1310","1310","0.46875","0.46875","0.46875"
