"Step","news_inference/train_easy_2e-6 - response_length/mean","news_inference/train_easy_2e-6 - response_length/mean__MIN","news_inference/train_easy_2e-6 - response_length/mean__MAX","news_inference/train_easy_kl_1e-4 - response_length/mean","news_inference/train_easy_kl_1e-4 - response_length/mean__MIN","news_inference/train_easy_kl_1e-4 - response_length/mean__MAX"
"1","199.89688110351562","199.89688110351562","199.89688110351562","199.22811889648438","199.22811889648438","199.22811889648438"
"2","199.17343139648438","199.17343139648438","199.17343139648438","199.30624389648438","199.30624389648438","199.30624389648438"
"3","202.0109405517578","202.0109405517578","202.0109405517578","203.5078125","203.5078125","203.5078125"
"4","196","196","196","202.0984344482422","202.0984344482422","202.0984344482422"
"5","203.9343719482422","203.9343719482422","203.9343719482422","201.67813110351562","201.67813110351562","201.67813110351562"
"6","203.79061889648438","203.79061889648438","203.79061889648438","199.74844360351562","199.74844360351562","199.74844360351562"
"7","199.2109375","199.2109375","199.2109375","204.7546844482422","204.7546844482422","204.7546844482422"
"8","206.94375610351562","206.94375610351562","206.94375610351562","206.4578094482422","206.4578094482422","206.4578094482422"
"9","220.625","220.625","220.625","204.6125030517578","204.6125030517578","204.6125030517578"
"10","217.40780639648438","217.40780639648438","217.40780639648438","212.8093719482422","212.8093719482422","212.8093719482422"
"11","213.47811889648438","213.47811889648438","213.47811889648438","214.60781860351562","214.60781860351562","214.60781860351562"
"12","207.39688110351562","207.39688110351562","207.39688110351562","213.9187469482422","213.9187469482422","213.9187469482422"
"13","201.95938110351562","201.95938110351562","201.95938110351562","202.03125","202.03125","202.03125"
"14","202.0046844482422","202.0046844482422","202.0046844482422","198.98593139648438","198.98593139648438","198.98593139648438"
"15","208.4484405517578","208.4484405517578","208.4484405517578","186.6921844482422","186.6921844482422","186.6921844482422"
"16","203.5546875","203.5546875","203.5546875","185.45938110351562","185.45938110351562","185.45938110351562"
"17","192.5281219482422","192.5281219482422","192.5281219482422","173.5203094482422","173.5203094482422","173.5203094482422"
"18","171.97500610351562","171.97500610351562","171.97500610351562","167.2296905517578","167.2296905517578","167.2296905517578"
"19","162.9968719482422","162.9968719482422","162.9968719482422","163.0546875","163.0546875","163.0546875"
"20","157.4140625","157.4140625","157.4140625","159.58438110351562","159.58438110351562","159.58438110351562"
"21","143.43594360351562","143.43594360351562","143.43594360351562","154.8984375","154.8984375","154.8984375"
"22","137.4734344482422","137.4734344482422","137.4734344482422","149.4953155517578","149.4953155517578","149.4953155517578"
"23","130.16561889648438","130.16561889648438","130.16561889648438","140.86563110351562","140.86563110351562","140.86563110351562"
"24","131.7062530517578","131.7062530517578","131.7062530517578","139.6531219482422","139.6531219482422","139.6531219482422"
"25","125.2406234741211","125.2406234741211","125.2406234741211","134.73281860351562","134.73281860351562","134.73281860351562"
"26","118.6390609741211","118.6390609741211","118.6390609741211","128.52499389648438","128.52499389648438","128.52499389648438"
"27","108.76094055175781","108.76094055175781","108.76094055175781","124.69999694824219","124.69999694824219","124.69999694824219"
"28","100.515625","100.515625","100.515625","121.2406234741211","121.2406234741211","121.2406234741211"
"29","94.2671890258789","94.2671890258789","94.2671890258789","121.0609359741211","121.0609359741211","121.0609359741211"
"30","88.9124984741211","88.9124984741211","88.9124984741211","117.2093734741211","117.2093734741211","117.2093734741211"
"31","84.5531234741211","84.5531234741211","84.5531234741211","116.2734375","116.2734375","116.2734375"
"32","82.84062194824219","82.84062194824219","82.84062194824219","113.1328125","113.1328125","113.1328125"
"33","80.15312194824219","80.15312194824219","80.15312194824219","113.7874984741211","113.7874984741211","113.7874984741211"
"34","77.6578140258789","77.6578140258789","77.6578140258789","111.6015625","111.6015625","111.6015625"
"35","75.1484375","75.1484375","75.1484375","114.8515625","114.8515625","114.8515625"
"36","73.02812194824219","73.02812194824219","73.02812194824219","109.7593765258789","109.7593765258789","109.7593765258789"
"37","70.6468734741211","70.6468734741211","70.6468734741211","108.6734390258789","108.6734390258789","108.6734390258789"
"38","70.2437515258789","70.2437515258789","70.2437515258789","115.6343765258789","115.6343765258789","115.6343765258789"
"39","71.02812194824219","71.02812194824219","71.02812194824219","110.1468734741211","110.1468734741211","110.1468734741211"
"40","71.33125305175781","71.33125305175781","71.33125305175781","108.5640640258789","108.5640640258789","108.5640640258789"
"41","69.41719055175781","69.41719055175781","69.41719055175781","110.43437194824219","110.43437194824219","110.43437194824219"
"42","68.4437484741211","68.4437484741211","68.4437484741211","105.3109359741211","105.3109359741211","105.3109359741211"
"43","68.43281555175781","68.43281555175781","68.43281555175781","106.85624694824219","106.85624694824219","106.85624694824219"
"44","69.4234390258789","69.4234390258789","69.4234390258789","109.62031555175781","109.62031555175781","109.62031555175781"
"45","69.61250305175781","69.61250305175781","69.61250305175781","101.20625305175781","101.20625305175781","101.20625305175781"
"46","68.25468444824219","68.25468444824219","68.25468444824219","104.87968444824219","104.87968444824219","104.87968444824219"
"47","69.58125305175781","69.58125305175781","69.58125305175781","105.58906555175781","105.58906555175781","105.58906555175781"
"48","71.07499694824219","71.07499694824219","71.07499694824219","107.5078125","107.5078125","107.5078125"
"49","72.8343734741211","72.8343734741211","72.8343734741211","103.7984390258789","103.7984390258789","103.7984390258789"
"50","70.4906234741211","70.4906234741211","70.4906234741211","99.6781234741211","99.6781234741211","99.6781234741211"
"51","71.9703140258789","71.9703140258789","71.9703140258789","100.5218734741211","100.5218734741211","100.5218734741211"
"52","75.8578109741211","75.8578109741211","75.8578109741211","101.86250305175781","101.86250305175781","101.86250305175781"
"53","82.1234359741211","82.1234359741211","82.1234359741211","103.22187805175781","103.22187805175781","103.22187805175781"
"54","76.74531555175781","76.74531555175781","76.74531555175781","103.2953109741211","103.2953109741211","103.2953109741211"
"55","69.5015640258789","69.5015640258789","69.5015640258789","104.87187194824219","104.87187194824219","104.87187194824219"
"56","70.765625","70.765625","70.765625","107.32344055175781","107.32344055175781","107.32344055175781"
"57","71.87812805175781","71.87812805175781","71.87812805175781","108.08280944824219","108.08280944824219","108.08280944824219"
"58","72.29219055175781","72.29219055175781","72.29219055175781","107.55781555175781","107.55781555175781","107.55781555175781"
"59","76.2640609741211","76.2640609741211","76.2640609741211","110.1078109741211","110.1078109741211","110.1078109741211"
"60","75.7437515258789","75.7437515258789","75.7437515258789","108.79219055175781","108.79219055175781","108.79219055175781"
"61","72.7093734741211","72.7093734741211","72.7093734741211","109.02656555175781","109.02656555175781","109.02656555175781"
"62","71.75","71.75","71.75","109.9359359741211","109.9359359741211","109.9359359741211"
"63","71.6421890258789","71.6421890258789","71.6421890258789","113.60624694824219","113.60624694824219","113.60624694824219"
"64","71.2906265258789","71.2906265258789","71.2906265258789","118.5171890258789","118.5171890258789","118.5171890258789"
"65","74.1859359741211","74.1859359741211","74.1859359741211","118.7874984741211","118.7874984741211","118.7874984741211"
"66","73.9046859741211","73.9046859741211","73.9046859741211","118.234375","118.234375","118.234375"
"67","71.3828125","71.3828125","71.3828125","114.1812515258789","114.1812515258789","114.1812515258789"
"68","69.14375305175781","69.14375305175781","69.14375305175781","112.6312484741211","112.6312484741211","112.6312484741211"
"69","66.5","66.5","66.5","117.7718734741211","117.7718734741211","117.7718734741211"
"70","65.1812515258789","65.1812515258789","65.1812515258789","117.5796890258789","117.5796890258789","117.5796890258789"
"71","65.9546890258789","65.9546890258789","65.9546890258789","117.9359359741211","117.9359359741211","117.9359359741211"
"72","68.26094055175781","68.26094055175781","68.26094055175781","120.98750305175781","120.98750305175781","120.98750305175781"
"73","67.6781234741211","67.6781234741211","67.6781234741211","122.8734359741211","122.8734359741211","122.8734359741211"
"74","66.6312484741211","66.6312484741211","66.6312484741211","122.9281234741211","122.9281234741211","122.9281234741211"
"75","67.74687194824219","67.74687194824219","67.74687194824219","118.81718444824219","118.81718444824219","118.81718444824219"
"76","68.2093734741211","68.2093734741211","68.2093734741211","115.4984359741211","115.4984359741211","115.4984359741211"
"77","69.5999984741211","69.5999984741211","69.5999984741211","113.69999694824219","113.69999694824219","113.69999694824219"
"78","70.5390625","70.5390625","70.5390625","119.078125","119.078125","119.078125"
"79","71.8687515258789","71.8687515258789","71.8687515258789","117.078125","117.078125","117.078125"
"80","70.88594055175781","70.88594055175781","70.88594055175781","114.88749694824219","114.88749694824219","114.88749694824219"
"81","68.32344055175781","68.32344055175781","68.32344055175781","113.07344055175781","113.07344055175781","113.07344055175781"
"82","66.4468765258789","66.4468765258789","66.4468765258789","114.609375","114.609375","114.609375"
"83","65.84375","65.84375","65.84375","111.62187194824219","111.62187194824219","111.62187194824219"
"84","62.599998474121094","62.599998474121094","62.599998474121094","106.81562805175781","106.81562805175781","106.81562805175781"
"85","60.993751525878906","60.993751525878906","60.993751525878906","105.10624694824219","105.10624694824219","105.10624694824219"
"86","59.787498474121094","59.787498474121094","59.787498474121094","103.45625305175781","103.45625305175781","103.45625305175781"
"87","60.58906173706055","60.58906173706055","60.58906173706055","101.9515609741211","101.9515609741211","101.9515609741211"
"88","61.546875","61.546875","61.546875","100.8609390258789","100.8609390258789","100.8609390258789"
"89","61.7109375","61.7109375","61.7109375","98.0078125","98.0078125","98.0078125"
"90","63.7265625","63.7265625","63.7265625","98.14375305175781","98.14375305175781","98.14375305175781"
"91","64.8531265258789","64.8531265258789","64.8531265258789","100.109375","100.109375","100.109375"
"92","62.642189025878906","62.642189025878906","62.642189025878906","107.1640625","107.1640625","107.1640625"
"93","63.514060974121094","63.514060974121094","63.514060974121094","105.57344055175781","105.57344055175781","105.57344055175781"
"94","61.74531173706055","61.74531173706055","61.74531173706055","105.2171859741211","105.2171859741211","105.2171859741211"
"95","62.34843826293945","62.34843826293945","62.34843826293945","102.02812194824219","102.02812194824219","102.02812194824219"
"96","61.04218673706055","61.04218673706055","61.04218673706055","103.26094055175781","103.26094055175781","103.26094055175781"
"97","62.857810974121094","62.857810974121094","62.857810974121094","103.0015640258789","103.0015640258789","103.0015640258789"
"98","63.001564025878906","63.001564025878906","63.001564025878906","101.3359375","101.3359375","101.3359375"
"99","64.0921859741211","64.0921859741211","64.0921859741211","99.7734375","99.7734375","99.7734375"
"100","64.5531234741211","64.5531234741211","64.5531234741211","98.94844055175781","98.94844055175781","98.94844055175781"
