"Step","time_reasoning/combined_tasks_from_inferring_easy_alpha_0.1 - response_length/overall/mean","time_reasoning/combined_tasks_from_inferring_easy_alpha_0.1 - response_length/overall/mean__MIN","time_reasoning/combined_tasks_from_inferring_easy_alpha_0.1 - response_length/overall/mean__MAX","time_reasoning/combined_tasks_from_dynamic_alpha_increasing - response_length/overall/mean","time_reasoning/combined_tasks_from_dynamic_alpha_increasing - response_length/overall/mean__MIN","time_reasoning/combined_tasks_from_dynamic_alpha_increasing - response_length/overall/mean__MAX"
"1","294.66717529296875","294.66717529296875","294.66717529296875","147.7468719482422","147.7468719482422","147.7468719482422"
"2","304.04376220703125","304.04376220703125","304.04376220703125","139.5625","139.5625","139.5625"
"3","286.1937561035156","286.1937561035156","286.1937561035156","144.46875","144.46875","144.46875"
"4","299.98126220703125","299.98126220703125","299.98126220703125","144.60000610351562","144.60000610351562","144.60000610351562"
"5","302.9312438964844","302.9312438964844","302.9312438964844","149.640625","149.640625","149.640625"
"6","303.85467529296875","303.85467529296875","303.85467529296875","140.56094360351562","140.56094360351562","140.56094360351562"
"7","281.55157470703125","281.55157470703125","281.55157470703125","140.7468719482422","140.7468719482422","140.7468719482422"
"8","296.72186279296875","296.72186279296875","296.72186279296875","144.89218139648438","144.89218139648438","144.89218139648438"
"9","320.5953063964844","320.5953063964844","320.5953063964844","137.7062530517578","137.7062530517578","137.7062530517578"
"10","295.19061279296875","295.19061279296875","295.19061279296875","138.72811889648438","138.72811889648438","138.72811889648438"
"11","307.9437561035156","307.9437561035156","307.9437561035156","138.4250030517578","138.4250030517578","138.4250030517578"
"12","309.9781188964844","309.9781188964844","309.9781188964844","133.34375","133.34375","133.34375"
"13","320.9609375","320.9609375","320.9609375","126.296875","126.296875","126.296875"
"14","312.9078063964844","312.9078063964844","312.9078063964844","118.7984390258789","118.7984390258789","118.7984390258789"
"15","328.83123779296875","328.83123779296875","328.83123779296875","104.5921859741211","104.5921859741211","104.5921859741211"
"16","305.79217529296875","305.79217529296875","305.79217529296875","90.76094055175781","90.76094055175781","90.76094055175781"
"17","324.44219970703125","324.44219970703125","324.44219970703125","77.671875","77.671875","77.671875"
"18","311.5625","311.5625","311.5625","77.453125","77.453125","77.453125"
"19","303.84844970703125","303.84844970703125","303.84844970703125","75.3218765258789","75.3218765258789","75.3218765258789"
"20","304.9156188964844","304.9156188964844","304.9156188964844","76.4781265258789","76.4781265258789","76.4781265258789"
"21","306.18280029296875","306.18280029296875","306.18280029296875","80.9124984741211","80.9124984741211","80.9124984741211"
